plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam,frmass
Vassobia_breviflora,Elaenia_parvirostris,Palacio_et_al.,gulper,4.3,10,9.96,0.7784
Euterpe_edulis,Turdus_amaurochalinus,Castro_(2003),gulper,4.290322581,12.48,13.3575,1.4475
Aralia_soratensis,Elaenia_albiceps,Blendinger,gulper,4.29,9.2,7.4,0.22
Phoradendron_ensifolium,Thlypopsis_sordida,Di_Pauli,masher,4.29,9.628333333,6.3,NA
Miconia_albicans,Myiodynastes_maculatus,Allenspach_e_Dias_(2012),gulper,4.259259259,15.92,7.62,0.195
Alchornea_glandulosa,Pitangus_sulphuratus,Zimmermann_(1996),gulper,4.2,16.35,4.4,0.075
Pera_glabrata,Dacnis_cayana,Francisco_et_al._(2007),masher,4.2,8.03,3.7075,0.0255
Schefflera_morototoni,Euphonia_rufiventris,Purifica??o_et_al._(2015),masher,4.186046512,7.3,9.2,0.6
Prunus_mahaleb,Dendrocopos_major,Jordano_and_Schupp,gulper,4.17,11.2,8.8,NA
Pera_glabrata,Vireo_olivaceus,Francisco_et_al._(2007),gulper,4.166666667,10.23571429,3.7075,0.0255
Myrsine_coriacea,Myiarchus_swainsoni,Pascotto_(2007),gulper,4.137931034,11.35,3.262,0.025558333
Phoradendron_ensifolium,Pipraeidea_melanonota,Blendinger,masher,4.13,9.3,6.3,NA
Toxicodendron_radicans,Dendroica_coronata,Malmborg_and_Willson,gulper,4.1,6,NA,NA
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),gulper,4.0625,30,13.3575,1.4475
Phoradendron_ensifolium,Turdus_rufiventris,Di_Pauli,gulper,4.06,14.50625,6.3,NA
Myrsine_coriacea,Piranga_flava,Pascotto_(2007),masher,4.05904059,11.7,3.262,0.025558333
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),gulper,4.03030303,12.51891892,13.3575,1.4475
Ilex_paraguariensis,Turdus_rufiventris,Colussi_e_Prestes_(2011),gulper,4.013953488,14.50625,6.807,0.211
Amomyrtella_guilii,Chlorospingus_ophthalmicus,Blendinger,masher,4,9,10.6,NA
Didymopanax_vinosum,Patagioenas_cayennensis,Gondim_(2002),gulper,4,NA,6,NA
Euterpe_edulis,Ramphastos_dicolorus,Castro_(2003),gulper,4,30,13.3575,1.4475
Ilex_paraguariensis,Pitangus_sulphuratus,Colussi_e_Prestes_(2011),gulper,4,16.35,6.807,0.211
Lacistema_hasslerianum,Elaenia_chiriquensis,Melo_e_Oliveira_(2009),gulper,4,11,5.85,0.115
Lantana_camara,Pycnonotus_jocosus,Ramaswami_et_al.,gulper,4,NA,5.285,0.084
Miconia_albicans,Empidonomus_varius,Gondim_(2002),gulper,4,11.5,7.62,0.195
Miconia_chamissois,Crotophaga_ani,Am?ncio_&_Melo_(2008),gulper,4,17.13333333,5.4,0.1
Miconia_stenostachya,Cyanocorax_chrysops,Gondim_(2002),gulper,4,19.5,7.4,0.196
Prunus_mahaleb,Sylvia_communis,Jordano_and_Schupp,gulper,4,NA,8.8,NA
Vassobia_breviflora,Thraupis_sayaca,Palacio_et_al.,masher,3.94,12,9.96,0.7784
Euterpe_edulis,Turdus_flavipes,C?rtes_(2003),gulper,3.933333333,13.21818182,13.3575,1.4475
Podocarpus_parlatorei,Cyanocorax_chrysops,Blendinger,gulper,3.93,19.5,6,0.15
Pera_glabrata,Cyclarhis_gujanensis,Francisco_et_al._(2007),gulper,3.921568627,11.1,3.7075,0.0255
Curatella_americana,Tangara_cayana,Pascotto_et_al_(2012),masher,3.89261745,8.65,13.9275,3.9905
Ilex_paraguariensis,Mimus_saturninus,Colussi_e_Prestes_(2011),gulper,3.890243902,12.15,6.807,0.211
Curatella_americana,Piranga_flava,Pascotto_et_al_(2012),masher,3.886925795,11.7,13.9275,3.9905
Ilex_paraguariensis,Turdus_leucomelas,Colussi_e_Prestes_(2011),gulper,3.856287425,14.1125,6.807,0.211
Acnistus_arborescens,Thraupis_sayaca,Athi?_e_Dias_(2010),masher,3.846153846,12,7.135,0.195
Ilex_paraguariensis,Chiroxiphia_caudata,Colussi_e_Prestes_(2011),gulper,3.825136612,11.08787879,6.807,0.211
Ocotea_corymbosa,Penelope_superciliaris,Gondim_(2002),gulper,3.790697674,25,5.7,0.18
Acnistus_arborescens,Tangara_cayana,Athi?_e_Dias_(2010),masher,3.773584906,8.65,7.135,0.195
Myrsine_coriacea,Sirystes_sibilator,Pascotto_(2007),gulper,3.773584906,NA,3.262,0.025558333
Astronium_nelson-rosae,Antilophia_galeata,Silva_and_de_Melo,gulper,3.77,7.3,NA,NA
Tapirira_obtusa,Antilophia_galeata,Silva_and_de_Melo,gulper,3.76,7.3,NA,NA
Xylopia_sericea,Coereba_flaveola,Correia_(1997),masher,3.75,5.922222222,7.4,NA
Miconia_cinnamomifolia,Cacicus_haemorrhous,Correia_(1997),gulper,3.738317757,12.1125,3.2,NA
Curatella_americana,Mimus_saturninus,Pascotto_et_al._(2012),gulper,3.720930233,12.15,13.9275,3.9905
Myrsine_coriacea,Thraupis_sayaca,Pascotto_(2007),masher,3.703703704,12,3.262,0.025558333
Miconia_ligustroides,Dacnis_cayana,Allenspach_et_al._(2012),masher,3.696682464,8.03,5.715,0.105
Miconia_albicans,Manacus_manacus,Correia_(1997),gulper,3.676470588,10.5826087,7.62,0.195
Myrsine_coriacea,Tyrannus_melancholicus,Francisco_e_Galetti_(2001),gulper,3.666666667,14.63333333,3.262,0.025558333
Miconia_alterninervia,Chlorospingus_ophthalmicus,Blendinger,masher,3.64,9,NA,NA
Myrsine_coriacea,Elaenia_albiceps,Blendinger,gulper,3.64,9.2,3.262,0.025558333
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),gulper,3.636363636,12.51891892,13.3575,1.4475
Xylopia_aromatica,Turdus_leucomelas,Gondim_(2002),gulper,3.636363636,14.1125,4.3,0.710666667
Prunus_mahaleb,Garrulus_glandarius,Jordano_and_Schupp,masher,3.63,17.2,8.8,NA
Prunus_mahaleb,Sylvia_cantillans,Jordano_and_Schupp,gulper,3.63,NA,8.8,NA
Alchornea_triplinervia,Dacnis_cayana,Correia_(1997),masher,3.623188406,8.03,7.15,0.25
Schefflera_morototoni,Myiozetetes_cayanensis,Purifica??o_et_al._(2015),gulper,3.601440576,12.86666667,9.2,0.6
Xylopia_aromatica,Camptostoma_obsoletum,Gondim_(2002),gulper,3.6,7.08125,4.3,0.710666667
Aegiphyla_sellowiana,Ramphocelus_bresilius,Correia_(1997),masher,3.565891473,11.73061224,7.1,NA
Miconia_ligustroides,Turdus_amaurochalinus,Allenspach_et_al._(2012),gulper,3.546099291,12.48,5.715,0.105
Schefflera_morototoni,Thraupis_palmarum,Purifica??o_et_al._(2015),masher,3.545200373,12,9.2,0.6
Schefflera_morototoni,Tityra_semifasciata,Purifica??o_et_al._(2015),gulper,3.541528239,NA,9.2,0.6
Miconia_langsdorffii,Tangara_cayana,Gondim_(2002),masher,3.533333333,8.65,5.9,0.09
Miconia_theaezans,Tangara_cayana,Borges_and_Melo,masher,3.52,8.65,NA,NA
Alchornea_glandulosa,Myiodynastes_maculatus,Zimmermann_(1996),gulper,3.5,15.92,4.4,0.075
Davilla_elliptica,Myiodynastes_maculatus,Gondim_(2002),gulper,3.5,15.92,5.5,0.08
Doliocarpus_dentatus,Casiornis_rufus,Gondim_(2002),gulper,3.5,10.16,6.317807018,0.118333333
Miconia_chamissois,Turdus_leucomelas,Am?ncio_&_Melo_(2008),gulper,3.483870968,14.1125,5.4,0.1
Miconia_theaezans,Dacnis_cayana,Borges_and_Melo,masher,3.48,8.03,NA,NA
Myrsine_coriacea,Turdus_albicollis,de_Jesus_e_Monteiro-Filho_(2007),gulper,3.47826087,12.51891892,3.262,0.025558333
Miconia_albicans,Cacicus_haemorrhous,Correia_(1997),gulper,3.463203463,12.1125,7.62,0.195
Pera_glabrata,Turdus_leucomelas,Francisco_et_al._(2007),gulper,3.459119497,14.1125,3.7075,0.0255
Schefflera_morototoni,Icterus_pyrrhopterus,Purifica??o_et_al._(2015),gulper,3.439490446,7.87,9.2,0.6
Myrsine_coriacea,Ramphocelus_carbo,Pascotto_(2007),masher,3.428571429,10,3.262,0.025558333
Ficus_sp.,Pycnonotus_jocosus,Blendinger,gulper,3.4,NA,NA,NA
Myrsine_coriacea,Tersina_viridis,Pascotto_(2007),masher,3.384615385,15.2,3.262,0.025558333
Myrsine_coriacea,Thraupis_sayaca,de_Jesus_e_Monteiro-Filho_(2007),masher,3.370786517,12,3.262,0.025558333
Nectandra_megapotamica,Tyrannus_savana,Krugel_et_al._(2006),gulper,3.368421053,NA,8.700666667,1.851266667
Miconia_albicans,Tachyphonus_cristatus,Correia_(1997),masher,3.333333333,9.385714286,7.62,0.195
Miconia_langsdorffii,Turdus_leucomelas,Gondim_(2002),gulper,3.333333333,14.1125,5.9,0.09
Talauma_ovata,Tyrannus_melancholicus,Cazetta_et_al._(2002),gulper,3.333333333,14.63333333,7.3,NA
Miconia_theaezans,Schistochlamys_melanopis,Borges_and_Melo,masher,3.3,NA,NA,NA
Myrsine_coriacea,Camptostoma_obsoletum,Pascotto_(2007),gulper,3.286384977,7.08125,3.262,0.025558333
Guarea_guidonia,Cacicus_haemorrhous,Correia_(1997),gulper,3.268817204,12.1125,11,12.85
Schefflera_morototoni,Melanerpes_cruentatus,Purifica??o_et_al._(2015),gulper,3.267326733,NA,9.2,0.6
Phoradendron_tucumanense,Pipraeidea_melanonota,Di_Pauli,masher,3.25,9.3,6.3,0.12
Pera_glabrata,Empidonomus_varius,Francisco_et_al._(2007),gulper,3.246753247,11.5,3.7075,0.0255
Curatella_americana,Thraupis_palmarum,Pascotto_et_al_(2012),masher,3.225806452,12,13.9275,3.9905
Lindera_benzoin,Catharus_ustulatus,Malmborg_and_Willson,gulper,3.2,11.1,9,NA
Myrsine_coriacea,Dacnis_cayana,Pascotto_(2007),masher,3.2,8.03,3.262,0.025558333
Ilex_paraguariensis,Phylloscartes_ventralis,Colussi_e_Prestes_(2011),gulper,3.184210526,6.6,6.807,0.211
Coussarea_hydrangeifolia,Tangara_cayana,Gondim_(2002),masher,3.181818182,8.65,7.4,0.26
Acnistus_arborescens,Ramphocelus_carbo,Athi?_e_Dias_(2010),masher,3.174603175,10,7.135,0.195
Curatella_americana,Coryphospingus_cucullatus,Pascotto_et_al_(2012),masher,3.141891892,7.79,13.9275,3.9905
Myrsine_coriacea,Tangara_cayana,Pascotto_(2007),masher,3.141361257,8.65,3.262,0.025558333
Phoradendron_tucumanense,Zonotrichia_capensis,Di_Pauli,masher,3.13,9,6.3,0.12
Miconia_albicans,Dacnis_cayana,Gondim_(2002),masher,3.125,8.03,7.62,0.195
Schefflera_morototoni,Pitangus_sulphuratus,Purifica??o_et_al._(2015),gulper,3.122362869,16.35,9.2,0.6
Trema_micrantha,Myiozetetes_similis,Correia_(1997),gulper,3.113207547,12.86666667,3.366666667,0.019
Lindera_benzoin,Catharus_fuscescens,Malmborg_and_Willson,gulper,3.1,12,9,NA
Myrsine_coriacea,Tangara_cayana,Francisco_e_Galetti_(2001),masher,3.097345133,8.65,3.262,0.025558333
Alchornea_glandulosa,Turdus_flavipes,Zimmermann_(1996),gulper,3.093495935,13.21818182,4.4,0.075
Viscum_album,Parus_major,Mellado_and_Zamora,masher,3.08,NA,7.5,NA
Schinus_terebinthifolius,Serpophaga_subcristata,de_Jesus_e_Monteiro-Filho_(2007),gulper,3.076923077,NA,5.1,NA
Miconia_albicans,Zonotrichia_capensis,Allenspach_e_Dias_(2012),masher,3.048780488,9,7.62,0.195
Allophylus_edulis,Thraupis_sayaca,Blendinger,masher,3.04,12,9.533,0.455
Cupania_oblongifolia,Turdus_leucomelas,Correia_(1997),gulper,3.03030303,14.1125,11,1.4
Myrsine_coriacea,Myiozetetes_similis,Correia_(1997),gulper,3.024193548,12.86666667,3.262,0.025558333
Myrsine_coriacea,Coereba_flaveola,Pascotto_(2007),masher,3.007518797,5.922222222,3.262,0.025558333
Pera_glabrata,Myiarchus_tyrannulus,Francisco_et_al._(2007),gulper,3.005464481,13.8,3.7075,0.0255
Byrsonima_intermedia,Cyanocorax_chrysops,Gondim_(2002),gulper,3,19.5,8.2225,0.27
Cinnamomum_glanduliferum,Pitangus_sulphuratus,Blendinger,gulper,3,16.35,10,NA
Cupania_vernalis,Mimus_saturninus,Gondim_(2002),gulper,3,12.15,8.75,0.52
Cupania_vernalis,Pitangus_sulphuratus,Blendinger,gulper,3,16.35,8.75,0.52
Didymopanax_vinosum,Elaenia_flavogaster,Gondim_(2002),gulper,3,10.7,6,NA
Faramea_hyacinthina,Tangara_cayana,Melo_et_al._(2003),masher,3,8.65,8.9,0.39
Ficus_calyptroceras,Cyanocorax_cyanomelas,Ragusa-Netto,gulper,3,20.37,10.1,NA
Ficus_calyptroceras,Ramphastos_toco,Ragusa-Netto,gulper,3,33.916,10.1,NA
Ficus_sp.,Psilopogon_zeylanicus,Blendinger,masher,3,22.08333333,NA,NA
Ilex_paraguariensis,Molothrus_bonariensis,Colussi_e_Prestes_(2011),gulper,3,15.6,6.807,0.211
Myrcia_castrensis,Tangara_cayana,Gondim_(2002),masher,3,8.65,6.6,0.16
Prunus_mahaleb,Phoenicurus_phoenicurus,Jordano_and_Schupp,gulper,3,NA,8.8,NA
Siparuna_guianensis,Turdus_leucomelas,Gondim_(2002),gulper,3,14.1125,3.9,0.03
Smilax_hispida,Catharus_guttatus,Malmborg_and_Willson,gulper,3,11.2,8.3,NA
Struthanthus_concinnus,Elaenia_flavogaster,Guerra_e_Marini_(2002),gulper,3,10.7,3.98,0.06
Vassobia_breviflora,Myiodynastes_maculatus,Palacio_et_al.,gulper,3,15.92,9.96,0.7784
Virola_sebifera,Tityra_cayana,Gondim_(2002),gulper,3,10.9,10.25,0.75
Viscum_album,Periparus_ater,Mellado_and_Zamora,masher,3,NA,7.5,NA
Xylopia_aromatica,Elaenia_flavogaster,Gondim_(2002),gulper,3,10.7,4.3,0.710666667
Miconia_prasina,Euphonia_violacea,Correia_(1997),masher,2.993158495,7.9,6.509425,0.15575
Miconia_ligustroides,Schistochlamys_ruficapillus,Allenspach_et_al._(2012),masher,2.972375691,11.7,5.715,0.105
Trema_micrantha,Vireo_olivaceus,Correia_(1997),gulper,2.960893855,10.23571429,3.366666667,0.019
Phoradendron_ensifolium,Thraupis_sayaca,Di_Pauli,masher,2.94,12,6.3,NA
Vassobia_breviflora,Catharus_ustulatus,Palacio_et_al.,gulper,2.91,11.1,9.96,0.7784
Myrsine_coriacea,Tityra_cayana,Pascotto_(2007),gulper,2.903225806,10.9,3.262,0.025558333
Frangula_alnus,Erithacus_rubecula,Hampe_2001,gulper,2.9,5.3,8,NA
Roucheria_columbiana,Querula_purpurata,Parrado-Rosselli_and_Amaya-Espinel,gulper,2.9,NA,NA,NA
Euterpe_edulis,Turdus_flavipes,C?rtes_(2003),gulper,2.891304348,13.21818182,13.3575,1.4475
Cupania_vernalis,Turdus_rufiventris,Blendinger,gulper,2.89,14.50625,8.75,0.52
Vassobia_breviflora,Saltator_aurantiirostris,Palacio_et_al.,masher,2.89,NA,9.96,0.7784
Schefflera_morototoni,Dacnis_lineata,Purifica??o_et_al._(2015),masher,2.888513514,8,9.2,0.6
Euterpe_edulis,Turdus_albicollis,C?rtes_(2003),gulper,2.868852459,12.51891892,13.3575,1.4475
Myrsine_coriacea,Myiodynastes_maculatus,Francisco_e_Galetti_(2001),gulper,2.857142857,15.92,3.262,0.025558333
Xylopia_sericea,Tolmomyias_flaviventris,Correia_(1997),gulper,2.857142857,9.952941176,7.4,NA
Miconia_stenostachya,Turdus_leucomelas,Gondim_(2002),gulper,2.851851852,14.1125,7.4,0.196
Amomyrtella_guilii,Thraupis_sayaca,Blendinger,masher,2.84,12,10.6,NA
Schefflera_morototoni,Pteroglossus_bitorquatus,Purifica??o_et_al._(2015),gulper,2.830930537,NA,9.2,0.6
Lacistema_hasslerianum,Antilophia_galeata,Melo_e_Oliveira_(2009),gulper,2.819148936,7.3,5.85,0.115
Struthanthus_concinnus,Mionectes_rufiventris,Guerra_e_Marini_(2002),gulper,2.8,9.2,3.98,0.06
Eugenia_uniflora,Turdus_amaurochalinus,Lamberti_et_al._(2012),gulper,2.785714286,12.48,18.95,0.76
Curatella_americana,Aratinga_aurea,Pascotto_et_al._(2012),masher,2.777777778,3.1,13.9275,3.9905
Miconia_albicans,Sporophila_caerulescens,Allenspach_e_Dias_(2012),masher,2.777777778,6.2,7.62,0.195
Myrsine_coriacea,Dacnis_cayana,Correia_(1997),masher,2.777777778,8.03,3.262,0.025558333
Alchornea_glandulosa,Turdus_leucomelas,Pascotto_(2006),gulper,2.772277228,14.1125,4.4,0.075
Miconia_irwinii,Tangara_cayana,Guerra_et_al_(2017),masher,2.769230769,8.65,NA,NA
Alchornea_glandulosa,Tersina_viridis,Pascotto_(2006),masher,2.745098039,15.2,4.4,0.075
Aegiphyla_sellowiana,Pitangus_sulphuratus,Correia_(1997),gulper,2.73556231,16.35,7.1,NA
Podocarpus_parlatorei,Arremon_torquatus,Blendinger,masher,2.73,9.3,6,0.15
Struthanthus_concinnus,Camptostoma_obsoletum,Guerra_e_Marini_(2002),gulper,2.714285714,7.08125,3.98,0.06
Myrsine_coriacea,Pachyramphus_validus,de_Jesus_e_Monteiro-Filho_(2007),gulper,2.702702703,15.2125,3.262,0.025558333
Nectandra_megapotamica,Vireo_olivaceus,Krugel_et_al._(2006),gulper,2.702702703,10.23571429,8.700666667,1.851266667
Schefflera_morototoni,Ramphocelus_carbo,Purifica??o_et_al._(2015),masher,2.692307692,10,9.2,0.6
Aegiphyla_sellowiana,Myiozetetes_similis,Correia_(1997),gulper,2.669902913,12.86666667,7.1,NA
Davilla_elliptica,Pitangus_sulphuratus,Gondim_(2002),gulper,2.666666667,16.35,5.5,0.08
Ilex_paraguariensis,Megarynchus_pitangua,Colussi_e_Prestes_(2011),gulper,2.666666667,18,6.807,0.211
Xylopia_aromatica,Patagioenas_picazuro,Gondim_(2002),gulper,2.666666667,NA,4.3,0.710666667
Miconia_prasina,Pipra_chloromeros,Correia_(1997),gulper,2.649006623,11,6.509425,0.15575
Curatella_americana,Myiarchus_swainsoni,Pascotto_et_al._(2012),gulper,2.644927536,11.35,13.9275,3.9905
Curatella_americana,Vireo_olivaceus,Pascotto_et_al._(2012),gulper,2.631578947,10.23571429,13.9275,3.9905
Myrsine_coriacea,Pachyramphus_polychopterus,Correia_(1997),gulper,2.631578947,12.35,3.262,0.025558333
Vassobia_breviflora,Zonotrichia_capensis,Palacio_et_al.,masher,2.62,9,9.96,0.7784
Nectandra_megapotamica,Tyrannus_melancholicus,Krugel_et_al._(2006),gulper,2.619047619,14.63333333,8.700666667,1.851266667
Eugenia_uniflora,Tangara_cayana,Lamberti_et_al._(2012),masher,2.617647059,8.65,18.95,0.76
Pera_glabrata,Zonotrichia_capensis,Francisco_et_al._(2007),masher,2.60989011,9,3.7075,0.0255
Cytharexylum_myrianthum,Myiozetetes_similis,Correia_(1997),gulper,2.608695652,12.86666667,8.3,NA
Talauma_ovata,Dacnis_cayana,Cazetta_et_al._(2002),masher,2.6,8.03,7.3,NA
Xylopia_aromatica,Nemosia_pileata,Gondim_(2002),masher,2.6,NA,4.3,0.710666667
Struthanthus_concinnus,Hylophilus_amaurocephalus,Guerra_e_Marini_(2002),gulper,2.590673575,10.1,3.98,0.06
Phoradendron_ensifolium,Euphonia_chlorotica,Di_Pauli,masher,2.57,7.07,6.3,NA
Prunus_mahaleb,Phoenicurus_ochruros,Jordano_and_Schupp,gulper,2.57,NA,8.8,NA
Trema_micrantha,Manacus_manacus,Correia_(1997),gulper,2.564102564,10.5826087,3.366666667,0.019
Eugenia_uniflora,Turdus_leucomelas,Colussi_e_Prestes_(2011),gulper,2.557692308,14.1125,18.95,0.76
Ocotea_pulchella,Pitangus_sulphuratus,Francisco_e_Galetti_(2002),gulper,2.555555556,16.35,6.153,0.192816667
Pera_glabrata,Myiarchus_ferox,Francisco_et_al._(2007),gulper,2.525252525,12.43333333,3.7075,0.0255
Ilex_cerasifolia,Thraupis_sayaca,Gondim_(2002),masher,2.52,12,4.9,0.06
Podocarpus_parlatorei,Elaenia_obscura,Blendinger,gulper,2.52,11.8125,6,0.15
Alchornea_glandulosa,Myiodynastes_maculatus,Pascotto_(2006),gulper,2.514150943,15.92,4.4,0.075
Miconia_albicans,Casiornis_rufus,Gondim_(2002),gulper,2.5,10.16,7.62,0.195
Miconia_albicans,Penelope_superciliaris,Gondim_(2002),gulper,2.5,25,7.62,0.195
Plocama_pendula,Cyanistes_caeruleus,Nogales_et_al.,masher,2.5,8.3,8.9,NA
Prunus_mahaleb,Sylvia_melanocephala,Jordano_and_Schupp,gulper,2.5,NA,8.8,NA
Styrax_pohlii,Penelope_superciliaris,Gondim_(2002),gulper,2.5,25,7.2,0.27
Virola_sebifera,Penelope_superciliaris,Gondim_(2002),gulper,2.5,25,10.25,0.75
Podocarpus_parlatorei,Poospiza_whitii,Blendinger,masher,2.49,NA,6,0.15
Pera_glabrata,Parula_pitiayumi,Francisco_et_al._(2007),gulper,2.48447205,6.2,3.7075,0.0255
Myrsine_coriacea,Cyclarhis_gujanensis,Pascotto_(2007),gulper,2.469135802,11.1,3.262,0.025558333
Doliocarpus_dentatus,Tangara_cayana,Gondim_(2002),masher,2.444444444,8.65,6.317807018,0.118333333
Eugenia_uniflora,Thraupis_bonariensis,Colussi_e_Prestes_(2011),masher,2.43902439,10.54,18.95,0.76
Myrsine_guianensis,Turdus_leucomelas,Gondim_(2002),gulper,2.428571429,14.1125,4,0.05
Copaifera_langsdorffii,Elaenia_flavogaster,Motta-Jr_e_Lombardi_(1990),gulper,2.424242424,10.7,9,0.68
Trema_micrantha,Saltator_maximus,Correia_(1997),masher,2.402402402,12.7,3.366666667,0.019
Euterpe_edulis,Turdus_albicollis,Castro_(2003),gulper,2.4,12.51891892,13.3575,1.4475
Frangula_alnus,Sylvia_atricapilla,Hampe_2001,gulper,2.4,NA,8,NA
Miconia_theaezans,Antilophia_galeata,Borges_and_Melo,gulper,2.4,7.3,NA,NA
Myrsine_coriacea,Pipra_pipra,Correia_(1997),gulper,2.4,11,3.262,0.025558333
Curatella_americana,Diopsittaca_nobilis,Pascotto_et_al._(2012),masher,2.389078498,21.6,13.9275,3.9905
Prunus_mahaleb,Erithacus_rubecula,Jordano_and_Schupp,gulper,2.38,5.3,7.8,NA
Prunus_mahaleb,Periparus_ater,Jordano_and_Schupp,masher,2.38,NA,8.8,NA
Struthanthus_concinnus,Phaeomyias_murina,Guerra_e_Marini_(2002),gulper,2.375,7.2,3.98,0.06
Myrsine_laetevirens,Thraupis_sayaca,Blendinger,masher,2.37,12,5.6,0.09
Michelia_champaca,Megarynchus_pitangua,Oliveira_et_al._(2013),gulper,2.358024691,18,8.5,NA
Euterpe_edulis,Turdus_rufiventris,C?rtes_(2003),gulper,2.352941176,14.50625,13.3575,1.4475
Xylopia_sericea,Cyanerpes_cyaneus,Correia_(1997),masher,2.34741784,7.458823529,7.4,NA
Miconia_irwinii,Elaenia_chiriquensis,Guerra_et_al_(2017),gulper,2.333333333,11,NA,NA
Pera_glabrata,Turdus_leucomelas,Gondim_(2002),gulper,2.333333333,14.1125,3.7075,0.0255
Xylopia_aromatica,Penelope_superciliaris,Gondim_(2002),gulper,2.333333333,25,4.3,0.710666667
Struthanthus_concinnus,Ilicura_militaris,Guerra_e_Marini_(2002),gulper,2.33201581,8.6,3.98,0.06
Coussarea_hydrangeifolia,Thraupis_sayaca,Gondim_(2002),masher,2.314814815,12,7.4,0.26
Lacistema_hasslerianum,Coereba_flaveola,Melo_e_Oliveira_(2009),masher,2.286764706,5.922222222,5.85,0.115
Virola_sebifera,Turdus_amaurochalinus,Gondim_(2002),gulper,2.285714286,12.48,10.25,0.75
Pera_glabrata,Ramphocelus_carbo,Francisco_et_al._(2007),masher,2.272727273,10,3.7075,0.0255
Prunus_mahaleb,Sitta_europaea,Jordano_and_Schupp,masher,2.27,NA,8.8,NA
Prunus_mahaleb,Fringilla_coelebs,Jordano_and_Schupp,masher,2.27,15.2,8.8,NA
Euterpe_edulis,Procnias_nudicollis,C?rtes_(2003),gulper,2.259036145,22.2,13.3575,1.4475
Alchornea_glandulosa,Turdus_subalaris,Zimmermann_(1996),gulper,2.25,13.5,4.4,0.075
Miconia_irwinii,Saltatricula_atricollis,Guerra_et_al_(2017),masher,2.25,NA,NA,NA
Guarea_guidonia,Vireo_olivaceus,Correia_(1997),gulper,2.222222222,10.23571429,11,12.85
Trema_micrantha,Mionectes_oleagineus,Correia_(1997),gulper,2.222222222,9.555555556,3.366666667,0.019
Prunus_mahaleb,Parus_major,Jordano_and_Schupp,masher,2.22,NA,8.8,NA
Byrsonima_intermedia,Mimus_saturninus,Gondim_(2002),gulper,2.2,12.15,8.2225,0.27
Hebepetalum_humiriifolium,Phoenicircus_nigricollis,Parrado-Rosselli_and_Amaya-Espinel,gulper,2.2,NA,4.5,NA
Lantana_camara,Zosterops_palpebrosus,Ramaswami_et_al.,masher,2.2,NA,5.285,0.084
Alchornea_glandulosa,Tyrannus_savana,Pascotto_(2006),gulper,2.180327869,NA,4.4,0.075
Siparuna_guianensis,Antilophia_galeata,Silva_and_de_Melo,gulper,2.17,7.3,3.9,0.03
Miconia_albicans,Tachyphonus_coronatus,Correia_(1997),masher,2.160493827,9.77,7.62,0.195
Miconia_ligustroides,Zonotrichia_capensis,Allenspach_et_al._(2012),masher,2.155172414,9,5.715,0.105
Struthanthus_concinnus,Piranga_flava,Guerra_e_Marini_(2002),masher,2.153846154,11.7,3.98,0.06
Faramea_hyacinthina,Antilophia_galeata,Melo_et_al._(2003),gulper,2.150537634,7.3,8.9,0.39
Ocotea_pulchella,Empidonomus_varius,Francisco_e_Galetti_(2002),gulper,2.150537634,11.5,6.153,0.192816667
Xylopia_aromatica,Myiozetetes_similis,Gondim_(2002),gulper,2.142857143,12.86666667,4.3,0.710666667
Ilex_paraguariensis,Thraupis_sayaca,Colussi_e_Prestes_(2011),masher,2.136690647,12,6.807,0.211
Podocarpus_parlatorei,Microspingus_erythrophrys,Blendinger,masher,2.12,5.1,6,0.15
Tapirira_guianensis,Cyanocorax_chrysops,Gondim_(2002),gulper,2.12,19.5,9.1,0.58
Guarea_guidonia,Myiozetetes_similis,Correia_(1997),gulper,2.118644068,12.86666667,11,12.85
Talauma_ovata,Veniliornis_passerinus,Cazetta_et_al._(2002),gulper,2.105263158,NA,7.3,NA
Menispermum_canadense,Catharus_guttatus,Malmborg_and_Willson,gulper,2.1,11.2,NA,NA
Prunus_mahaleb,Cyanistes_caeruleus,Jordano_and_Schupp,masher,2.1,8.3,8.8,NA
Alchornea_glandulosa,Thraupis_palmarum,Zimmermann_(1996),masher,2.083333333,12,4.4,0.075
Podocarpus_parlatorei,Saltator_aurantiirostris,Blendinger,masher,2.08,NA,6,0.15
Ficus_benghalensis,Psilopogon_zeylanicus,Blendinger,masher,2.07,22.08333333,17.5,NA
Talauma_ovata,Tangara_cayana,Cazetta_et_al._(2002),masher,2.026785714,8.65,7.3,NA
Myrsine_coriacea,Pipra_rubrocapilla,Correia_(1997),gulper,2.02020202,11,3.262,0.025558333
Eugenia_uniflora,Turdus_leucomelas,Lamberti_et_al._(2012),gulper,2.016129032,14.1125,18.95,0.76
Euterpe_edulis,Procnias_nudicollis,C?rtes_(2003),gulper,2.0125,22.2,13.3575,1.4475
Alchornea_glandulosa,Tangara_cyanocephala,Zimmermann_(1996),masher,2.006024096,NA,4.4,0.075
Amaioua_guianensis,Antilophia_galeata,Gondim_(2002),gulper,2,7.3,9.573333333,0.93
