plant.sp,bird.sp,source,foraging.behaviour,fruitstime,gape.width,frdiam,frmass
Schinus_terebinthifolius,Turdus_amaurochalinus,de_Jesus_e_Monteiro-Filho_(2007),gulper,10.95764273,12.48,5.1,NA
Miconia_theaezans,Turdus_rufiventris,Am?ncio_&_Melo_(2008),gulper,10.95,14.50625,NA,NA
Miconia_ligustroides,Trichothraupis_melanops,Allenspach_et_al._(2012),masher,10.43478261,9.94,5.715,0.105
Schefflera_morototoni,Ramphastos_toco,Purifica??o_et_al._(2015),gulper,10.37104072,33.916,9.2,0.6
Miconia_theaezans,Pitangus_sulphuratus,Am?ncio_&_Melo_(2008),gulper,10.23264436,16.35,NA,NA
Phoradendron_tucumanense,Euphonia_chlorotica,Di_Pauli,masher,10.21,7.07,6.3,0.12
Miconia_albicans,Mimus_saturninus,Allenspach_e_Dias_(2012),gulper,10.19811321,12.15,7.62,0.195
Phoradendron_ensifolium,Chlorospingus_ophthalmicus,Di_Pauli,masher,10.19,9,6.3,NA
Croposma_quadrifida,Platycercus_elegans,French_et_al.,masher,10,NA,NA,NA
Euterpe_edulis,Turdus_albicollis,Castro_(2003),gulper,10,12.51891892,13.3575,1.4475
Myrsine_coriacea,Turdus_leucomelas,Francisco_e_Galetti_(2001),gulper,10,14.1125,3.262,0.025558333
Ocotea_corymbosa,Myiodynastes_maculatus,Gondim_(2002),gulper,10,15.92,5.7,0.18
Vitis_vulpina,Colaptes_auratus,Malmborg_and_Willson,gulper,10,11.2,9.8,NA
Xylopia_sericea,Thraupis_palmarum,Correia_(1997),masher,10,12,7.4,NA
Myrsine_coriacea,Cyanocorax_chrysops,de_Jesus_e_Monteiro-Filho_(2007),gulper,9.978873239,19.5,3.262,0.025558333
Schefflera_morototoni,Patagioenas_speciosa,Purifica??o_et_al._(2015),gulper,9.907990315,NA,9.2,0.6
Croposma_quadrifida,Zosterops_lateralis,French_et_al.,masher,9.9,NA,NA,NA
Myrsine_coriacea,Zonotrichia_capensis,de_Jesus_e_Monteiro-Filho_(2007),masher,9.787401575,9,3.262,0.025558333
Miconia_theaezans,Colaptes_melanochloros,Am?ncio_&_Melo_(2008),gulper,9.771428571,12.4,NA,NA
Miconia_theaezans,Thraupis_sayaca,Am?ncio_&_Melo_(2008),masher,9.674349757,12,NA,NA
Myrsine_coriacea,Tyrannus_melancholicus,Pascotto_(2007),gulper,9.615384615,14.63333333,3.262,0.025558333
Miconia_theaezans,Tangara_cayana,Am?ncio_&_Melo_(2008),masher,9.506666667,8.65,NA,NA
Miconia_albicans,Tangara_cayana,Allenspach_e_Dias_(2012),masher,9.487804878,8.65,7.62,0.195
Schinus_terebinthifolius,Mimus_saturninus,de_Jesus_e_Monteiro-Filho_(2007),gulper,9.418699187,12.15,5.1,NA
Myrsine_coriacea,Celeus_flavescens,Correia_(1997),gulper,9.361702128,15.75,3.262,0.025558333
Myrsine_coriacea,Tangara_desmaresti,de_Jesus_e_Monteiro-Filho_(2007),masher,9.302325581,7.6,3.262,0.025558333
Miconia_theaezans,Tersina_viridis,Am?ncio_&_Melo_(2008),masher,9.23510383,15.2,NA,NA
Pera_glabrata,Piranga_flava,Francisco_et_al._(2007),masher,9.202453988,11.7,3.7075,0.0255
Schefflera_morototoni,Pipile_cujubi,Purifica??o_et_al._(2015),gulper,9.162287481,NA,9.2,0.6
Cupania_oblongifolia,Turdus_amaurochalinus,Correia_(1997),gulper,9.090909091,12.48,11,1.4
Euterpe_edulis,Tachyphonus_coronatus,Castro_(2003),masher,9.090909091,9.77,13.3575,1.4475
Myrsine_laetevirens,Elaenia_obscura,Blendinger,gulper,9.09,11.8125,5.6,0.09
Allophylus_edulis,Turdus_rufiventris,Blendinger,gulper,9.05,14.50625,9.533,0.455
Miconia_theaezans,Coereba_flaveola,Am?ncio_&_Melo_(2008),masher,9,5.922222222,NA,NA
Myrsine_coriacea,Chlorospingus_ophthalmicus,Blendinger,masher,9,9,3.262,0.025558333
Ilex_paraguariensis,Tyrannus_melancholicus,Colussi_e_Prestes_(2011),gulper,8.888888889,14.63333333,6.807,0.211
Myrsine_coriacea,Tersina_viridis,de_Jesus_e_Monteiro-Filho_(2007),masher,8.846153846,15.2,3.262,0.025558333
Miconia_theaezans,Thraupis_palmarum,Am?ncio_&_Melo_(2008),masher,8.72372093,12,NA,NA
Miconia_albicans,Saltatricula_atricollis,Allenspach_e_Dias_(2012),masher,8.641975309,NA,7.62,0.195
Myrsine_coriacea,Chiroxiphia_caudata,de_Jesus_e_Monteiro-Filho_(2007),gulper,8.630952381,11.08787879,3.262,0.025558333
Viscum_album,Turdus_philomelos,Mellado_and_Zamora,gulper,8.61,13.3,7.5,NA
Viburnum_seemenii,Turdus_rufiventris,Blendinger,gulper,8.57,14.50625,NA,NA
Schinus_terebinthifolius,Pyrrhura_frontalis,de_Jesus_e_Monteiro-Filho_(2007),masher,8.540103866,13.5,5.1,NA
Myrsine_coriacea,Camptostoma_obsoletum,de_Jesus_e_Monteiro-Filho_(2007),gulper,8.510638298,7.08125,3.262,0.025558333
Miconia_ligustroides,Mimus_saturninus,Allenspach_et_al._(2012),gulper,8.495192308,12.15,5.715,0.105
Euterpe_edulis,Ramphastos_vitellinus,C?rtes_(2003),gulper,8.46031746,29.7,13.3575,1.4475
Viscum_album,Turdus_pilaris,Mellado_and_Zamora,gulper,8.38,NA,7.5,NA
Pera_glabrata,Colaptes_melanochloros,Francisco_et_al._(2007),gulper,8.18452381,12.4,3.7075,0.0255
Phoradendron_tucumanense,Chlorospingus_ophthalmicus,Di_Pauli,masher,8.16,9,6.3,0.12
Viscum_album,Turdus_torquatus,Mellado_and_Zamora,gulper,8.15,NA,7.5,NA
Miconia_chamissois,Pitangus_sulphuratus,Am?ncio_&_Melo_(2008),gulper,8.092877642,16.35,5.4,0.1
Miconia_theaezans,Empidonomus_varius,Am?ncio_&_Melo_(2008),gulper,8.07861543,11.5,NA,NA
Aralia_soratensis,Turdus_rufiventris,Blendinger,gulper,8.05,14.50625,7.4,0.22
Myrsine_coriacea,Catharus_ustulatus,Blendinger,gulper,8.02,11.1,3.262,0.025558333
Miconia_chamissois,Coereba_flaveola,Am?ncio_&_Melo_(2008),masher,8,5.922222222,5.4,0.1
Miconia_ligustroides,Turdus_leucomelas,Gondim_(2002),gulper,8,14.1125,5.715,0.105
Phoradendron_tucumanense,Turdus_rufiventris,Di_Pauli,gulper,7.94,14.50625,6.3,0.12
Euterpe_edulis,Turdus_rufiventris,Castro_(2003),gulper,7.894736842,14.50625,13.3575,1.4475
Miconia_albicans,Thraupis_sayaca,Allenspach_e_Dias_(2012),masher,7.847953216,12,7.62,0.195
Miconia_ligustroides,Thraupis_sayaca,Allenspach_et_al._(2012),masher,7.821052632,12,5.715,0.105
Lindera_benzoin,Catharus_minimus,Malmborg_and_Willson,gulper,7.8,10.3,9,NA
Myrsine_coriacea,Colaptes_melanochloros,Francisco_e_Galetti_(2001),gulper,7.790368272,12.4,3.262,0.025558333
Copaifera_langsdorffii,Turdus_leucomelas,Motta-Jr_e_Lombardi_(1990),gulper,7.777777778,14.1125,9,0.68
Schinus_terebinthifolius,Tangara_preciosa,de_Jesus_e_Monteiro-Filho_(2007),masher,7.768802228,NA,5.1,NA
Schinus_terebinthifolius,Turdus_rufiventris,de_Jesus_e_Monteiro-Filho_(2007),gulper,7.710280374,14.50625,5.1,NA
Aegiphyla_sellowiana,Pipra_rubrocapilla,Correia_(1997),gulper,7.692307692,11,7.1,NA
Phoradendron_affine,Euphonia_chlorotica,Maruyama_et_al._(2012),masher,7.653846154,7.07,6.3,NA
Myrsine_coriacea,Tyrannus_savana,Pascotto_(2007),gulper,7.555555556,NA,3.262,0.025558333
Phoradendron_ensifolium,Euphonia_cyanocephala,Di_Pauli,masher,7.51,7.5,6.3,NA
Miconia_chamissois,Dacnis_cayana,Am?ncio_&_Melo_(2008),masher,7.5,8.03,5.4,0.1
Miconia_ligustroides,Ramphocelus_carbo,Allenspach_et_al._(2012),masher,7.333333333,10,5.715,0.105
Euterpe_edulis,Ramphastos_vitellinus,C?rtes_(2003),gulper,7.291666667,29.7,13.3575,1.4475
Ocotea_puberula,Turdus_rufiventris,Blendinger,gulper,7.29,14.50625,13.4905,1.0631
Pera_glabrata,Turdus_amaurochalinus,Francisco_et_al._(2007),gulper,7.264957265,12.48,3.7075,0.0255
Prunus_mahaleb,Turdus_merula,Jordano_and_Schupp,gulper,7.22,13.5,8.8,NA
Phoradendron_tucumanense,Thlypopsis_sordida,Di_Pauli,masher,7.2,9.628333333,6.3,0.12
Ficus_sp.,Acridotheres_cristatellus,Blendinger,gulper,7.14,8.2,8,NA
Miconia_theaezans,Volatinia_jacarina,Am?ncio_&_Melo_(2008),masher,7.090909091,7.8,NA,NA
Myrsine_coriacea,Megarynchus_pitangua,Pascotto_(2007),gulper,7.051282051,18,3.262,0.025558333
Miconia_albicans,Saltator_similis,Gondim_(2002),masher,7,12.05,7.62,0.195
Prunus_mahaleb,Turdus_viscivorus,Jordano_and_Schupp,gulper,6.93,NA,8.8,NA
Phoradendron_affine,Euphonia_chlorotica,Maruyama_et_al._(2012),masher,6.870967742,7.07,6.3,NA
Myrsine_coriacea,Megarynchus_pitangua,Francisco_e_Galetti_(2001),gulper,6.862745098,18,3.262,0.025558333
Myrsine_coriacea,Saltator_similis,de_Jesus_e_Monteiro-Filho_(2007),masher,6.748987854,12.05,3.262,0.025558333
Psychotria_hoffmannseggiana,Antilophia_galeata,Silva_and_de_Melo,gulper,6.72,7.3,7.19,0.155
Miconia_ioneura,Thraupis_sayaca,Blendinger,masher,6.67,12,5.9,NA
Amomyrtella_guilii,Turdus_rufiventris,Blendinger,gulper,6.67,14.50625,10.6,NA
Myrcianthes_pseudomato,Turdus_rufiventris,Blendinger,gulper,6.67,14.50625,11.5,0.61
Copaifera_langsdorffii,Pitangus_sulphuratus,Motta-Jr_e_Lombardi_(1990),gulper,6.666666667,16.35,9,0.68
Curatella_americana,Saltatricula_atricollis,Pascotto_et_al._(2012),masher,6.666666667,NA,13.9275,3.9905
Euterpe_edulis,Ramphastos_vitellinus,Castro_(2003),gulper,6.666666667,29.7,13.3575,1.4475
Euterpe_edulis,Tachyphonus_coronatus,C?rtes_(2003),masher,6.666666667,9.77,13.3575,1.4475
Myrsine_coriacea,Cyanocorax_cristatellus,Pascotto_(2007),gulper,6.606606607,18.2,3.262,0.025558333
Lantana_camara,Pycnonotus_luteolus,Ramaswami_et_al.,gulper,6.6,NA,5.285,0.084
Myrsine_coriacea,Turdus_amaurochalinus,de_Jesus_e_Monteiro-Filho_(2007),gulper,6.578947368,12.48,3.262,0.025558333
Myrsine_coriacea,Saltatricula_atricollis,Pascotto_(2007),masher,6.545454545,NA,3.262,0.025558333
Miconia_albicans,Tyrannus_albogularis,Allenspach_e_Dias_(2012),gulper,6.504065041,NA,7.62,0.195
Vitis_vulpina,Catharus_ustulatus,Malmborg_and_Willson,gulper,6.5,11.1,9.8,NA
Vitis_vulpina,Dumetella_carolinensis,Malmborg_and_Willson,gulper,6.5,11.25,9.8,NA
Alchornea_glandulosa,Turdus_albicollis,Zimmermann_(1996),gulper,6.375,12.51891892,4.4,0.075
Myrsine_coriacea,Hemithraupis_guira,de_Jesus_e_Monteiro-Filho_(2007),masher,6.346153846,7.7,3.262,0.025558333
Schefflera_morototoni,Dryocopus_lineatus,Purifica??o_et_al._(2015),gulper,6.337078652,17.62,9.2,0.6
Miconia_chamissois,Mimus_saturninus,Am?ncio_&_Melo_(2008),gulper,6.333630687,12.15,5.4,0.1
Plocama_pendula,Serinus_canaria,Nogales_et_al.,masher,6.3,NA,8.9,NA
Viscum_album,Sylvia_atricapilla,Mellado_and_Zamora,gulper,6.3,NA,7.5,NA
Miconia_albicans,Turdus_leucomelas,Allenspach_e_Dias_(2012),gulper,6.290502793,14.1125,7.62,0.195
Viscum_album,Turdus_viscivorus,Mellado_and_Zamora,gulper,6.28,NA,7.5,NA
Nectandra_megapotamica,Chiroxiphia_caudata,Krugel_et_al._(2006),gulper,6.25,11.08787879,8.700666667,1.851266667
Schinus_terebinthifolius,Hemithraupis_guira,de_Jesus_e_Monteiro-Filho_(2007),masher,6.218934911,7.7,5.1,NA
Myrsine_coriacea,Elaenia_flavogaster,Pascotto_(2007),gulper,6.206896552,10.7,3.262,0.025558333
Lantana_camara,Pycnonotus_cafer,Ramaswami_et_al.,gulper,6.2,NA,5.285,0.084
Myrsine_coriacea,Myiodynastes_maculatus,Pascotto_(2007),gulper,6.19047619,15.92,3.262,0.025558333
Myrsine_coriacea,Antilophia_galeata,Francisco_e_Galetti_(2001),gulper,6.153846154,7.3,3.262,0.025558333
Miconia_albicans,Tyrannus_savana,Allenspach_e_Dias_(2012),gulper,6.141414141,NA,7.62,0.195
Schinus_terebinthifolius,Thraupis_sayaca,de_Jesus_e_Monteiro-Filho_(2007),masher,6.139013453,12,5.1,NA
Viscum_album,Turdus_merula,Mellado_and_Zamora,gulper,6.08,13.5,7.5,NA
Doliocarpus_dentatus,Tyrannus_melancholicus,Gondim_(2002),gulper,6,14.63333333,6.317807018,0.118333333
Miconia_chamissois,Patagioenas_picazuro,Am?ncio_&_Melo_(2008),gulper,6,NA,5.4,0.1
Ocotea_corymbosa,Empidonomus_varius,Gondim_(2002),gulper,6,11.5,5.7,0.18
Siparuna_guianensis,Pachyramphus_validus,Gondim_(2002),gulper,6,15.2125,3.9,0.03
Vitis_vulpina,Dendroica_coronata,Malmborg_and_Willson,gulper,6,6,9.8,NA
